task_name,difficulty,hours_required,deadline_days_from_today
Assignment_Easy_1d,Easy,1.5,1
Assignment_Medium_1d,Medium,2.0,1
Assignment_Hard_1d,Hard,3.0,1
Assignment_Easy_2d,Easy,1.5,2
Assignment_Medium_2d,Medium,2.0,2
Assignment_Hard_2d,Hard,3.0,2
Assignment_Easy_3d,Easy,1.5,3
Assignment_Medium_3d,Medium,2.0,3
Assignment_Hard_3d,Hard,3.0,3
Assignment_Easy_4d,Easy,1.5,4
Assignment_Medium_4d,Medium,2.0,4
Assignment_Hard_4d,Hard,3.0,4
Assignment_Easy_5d,Easy,1.5,5
Assignment_Medium_5d,Medium,2.0,5
Assignment_Hard_5d,Hard,3.0,5
Assignment_Easy_6d,Easy,1.5,6
Assignment_Medium_6d,Medium,2.0,6
Assignment_Hard_6d,Hard,3.0,6
Assignment_Easy_7d,Easy,1.5,7
Assignment_Medium_7d,Medium,2.0,7
Assignment_Hard_7d,Hard,3.0,7
