task_name,difficulty,hours_required,deadline_days_from_today
Lab_Easy_1d,Easy,0.75,1
Lab_Medium_1d,Medium,1.5,1
Lab_Hard_1d,Hard,2.0,1
Lab_Easy_2d,Easy,0.75,2
Lab_Medium_2d,Medium,1.5,2
Lab_Hard_2d,Hard,2.0,2
Lab_Easy_3d,Easy,0.75,3
Lab_Medium_3d,Medium,1.5,3
Lab_Hard_3d,Hard,2.0,3
Lab_Easy_4d,Easy,0.75,4
Lab_Medium_4d,Medium,1.5,4
Lab_Hard_4d,Hard,2.0,4
Lab_Easy_5d,Easy,0.75,5
Lab_Medium_5d,Medium,1.5,5
Lab_Hard_5d,Hard,2.0,5
Lab_Easy_6d,Easy,0.75,6
Lab_Medium_6d,Medium,1.5,6
Lab_Hard_6d,Hard,2.0,6
Lab_Easy_7d,Easy,0.75,7
Lab_Medium_7d,Medium,1.5,7
Lab_Hard_7d,Hard,2.0,7
